restaurant_id,name,restaurant_type,avg_rating,num_ratings,avg_cost_two,online_order,table_booking,cuisine_type,area,address,source,city,typical_delivery_time
14596,Shree Krishna Cold Drinks & Dairy Farm,,4.1,20,100.0,,,"Desserts,Beverages",Navrangpura,Panjrapole Cross Road,swiggy,Ahmedabad,31
14597,Hari Om Centre,,3.8,100,200.0,,,"North Indian,Gujarati,Punjabi,Thalis,Indian",Satellite,Mansi Cross Road,swiggy,Ahmedabad,39
14598,Apsara Ice Creams,,4.4,50,150.0,,,"Ice Cream,Desserts",Thousand Lights,Knk Road,swiggy,Chennai,38
14599,Delight,,3.9,20,200.0,,,"Fast Food,Chinese,South Indian",Ambawadi,Paldi,swiggy,Ahmedabad,40
14600,Cake Bonzerbites- Live Cake,,4.2,100,300.0,,,Desserts,Athwa,Parle Point,swiggy,Surat,45
14601,New Durga Corner,,4.1,500,150.0,,,"South Indian,Chinese",Paschim Vihar,Dda Market Paschim Vihar,swiggy,Delhi,40
14602,Ufo Fries And Corn,,3.6,20,300.0,,,"Fast Food,Beverages",Dhankawadi,Katraj,swiggy,Pune,71
14603,Green Crush,,4.6,50,85.0,,,"Beverages,Juices",Mylapore,Cit Colony,swiggy,Chennai,59
14604,The Cheese Cafe,,4.6,20,250.0,,,"North Indian,Italian,Mexican",Anna Nagar,Ranganathan Garden,swiggy,Chennai,64
14605,Natraj Ice Cream,,2.9,80,300.0,,,Beverages,Begampura,Begumpura,swiggy,Surat,46
14606,Kota Kachori And Falahaar,,4.1,1000,15.0,,,"Chaat,North Indian,Snacks,Rajasthani,Sweets,Desserts,Beverages",Domlur,Domlur,swiggy,Bangalore,50
14607,Apna Adda Barbeque  Rolls And Tikkas,,4.2,100,300.0,,,"North Indian,Barbecue",University Area,Vastrapur,swiggy,Ahmedabad,40
14608,Shafi Sweets,,4.3,50,400.0,,,"Snacks,Sweets,Desserts",Old Washermanpet,Washermenpet,swiggy,Chennai,51
14609,Purani Dehli,,3.7,50,300.0,,,"North Indian,Combo,Snacks,Chinese,Sweets,Beverages",Seshadripuram,Malleshwaram,swiggy,Bangalore,63
14610,Wooddy Jhone'S Pizza,,3.0,20,300.0,,,"Italian,Pizzas",Adajan Patiya,Rusabh Char Rasta Rander Road,swiggy,Surat,50
14611,Jay Bhavani Vadapav,,3.8,100,150.0,,,"Fast Food,Snacks,Combo,American,Pizzas,Beverages",Navrangpura,C G Road,swiggy,Ahmedabad,36
14612,Uncle Momos,,3.4,100,150.0,,,Fast Food,Vesu,Um Road Vesu,swiggy,Surat,38
